product_id,name,category,price,description,stock_quantity,brand,sku,rating,reviews_count
1,Wireless Bluetooth Headphones,Electronics,129.99,"Premium over-ear headphones with active noise cancellation, 30-hour battery life, and crystal-clear audio quality. Perfect for music lovers and professionals.",150,AudioTech,ATH-WH-001,4.5,1247
2,Organic Cotton T-Shirt,Clothing,24.99,"Soft, breathable 100% organic cotton t-shirt. Sustainable fashion that's comfortable for everyday wear. Available in multiple colors.",500,EcoWear,EW-TS-001,4.3,892
3,Stainless Steel Water Bottle,Home & Kitchen,34.99,"Insulated 32oz water bottle keeps drinks cold for 24 hours or hot for 12 hours. BPA-free, leak-proof design with carrying handle.",300,HydratePro,HP-WB-32,4.7,2156
4,Smart Fitness Watch,Electronics,299.99,"Advanced fitness tracking with heart rate monitor, GPS, sleep tracking, and 50+ workout modes. Water-resistant up to 50m.",85,FitTech,FT-SW-001,4.6,3421
5,Leather Crossbody Bag,Accessories,89.99,"Genuine leather crossbody bag with adjustable strap. Multiple compartments for organization. Classic design that never goes out of style.",120,StyleCraft,SC-CB-001,4.4,567
6,Espresso Coffee Maker,Home & Kitchen,199.99,"Professional-grade espresso machine with steam wand for frothing milk. 15-bar pressure pump for perfect espresso every time.",45,CoffeeMaster,CM-EM-001,4.5,1890
7,Running Shoes - Men's,Footwear,119.99,"Lightweight running shoes with cushioned sole and breathable mesh upper. Designed for comfort and performance on any terrain.",200,RunFast,RF-MS-001,4.6,3124
8,Wireless Charging Pad,Electronics,29.99,"Fast wireless charging pad compatible with all Qi-enabled devices. Sleek design with LED indicator light.",350,TechCharge,TC-WC-001,4.2,987
9,Yoga Mat Premium,Sports & Outdoors,49.99,"Extra-thick 6mm yoga mat with non-slip surface. Eco-friendly TPE material. Includes carrying strap.",275,YogaLife,YL-MAT-001,4.5,1456
10,Designer Sunglasses,Accessories,159.99,"UV400 protection sunglasses with polarized lenses. Lightweight titanium frame. Includes protective case and cleaning cloth.",90,SunShield,SS-SG-001,4.4,723
11,Portable Bluetooth Speaker,Electronics,79.99,"Waterproof Bluetooth speaker with 360-degree sound. 12-hour battery life. Perfect for outdoor adventures.",180,SoundWave,SW-BS-001,4.5,2103
12,Denim Jacket - Women's,Clothing,69.99,"Classic denim jacket with modern fit. Pre-washed for comfort. Versatile style for any season.",150,DenimCo,DC-JK-001,4.3,654
